epoch,acc,loss,lr,precision,recall,val_acc,val_loss,val_precision,val_recall
0,0.38488343358039856,0.7140802145004272,1e-04,0.05327821895480156,0.7831422090530396,0.0579376220703125,0.6986269354820251,0.03958909213542938,0.896731436252594
1,0.8713086247444153,0.5601540207862854,1e-04,0.26162445545196533,0.9615421891212463,0.894792914390564,0.6862984895706177,0.3117639124393463,0.9984597563743591
2,0.9574269652366638,0.4978390336036682,1e-04,0.5741569399833679,0.9625892043113708,0.93603515625,0.6651383638381958,0.4448547661304474,0.9902570247650146
3,0.9716287851333618,0.45976418256759644,1e-04,0.7138776779174805,0.9586347937583923,0.9501312375068665,0.6408255696296692,0.5212929248809814,0.9852422475814819
4,0.9806317687034607,0.43127378821372986,1e-04,0.8452873826026917,0.9551233649253845,0.9618514776229858,0.6187000870704651,0.6096102595329285,0.9824841022491455
5,0.9832723140716553,0.4091106057167053,1e-04,0.8934713006019592,0.9519205689430237,0.9664154052734375,0.5964970588684082,0.6527418494224548,0.9808722138404846
6,0.9846433997154236,0.3918111026287079,1e-04,0.9207704067230225,0.9511579275131226,0.9698989987373352,0.5775662660598755,0.690249502658844,0.9804423451423645
7,0.9855858683586121,0.37810373306274414,1e-04,0.9404805898666382,0.9512107968330383,0.970196545124054,0.5585271120071411,0.6935295462608337,0.9797976016998291
8,0.9861980080604553,0.3674408197402954,1e-04,0.9537102580070496,0.9495289325714111,0.9665023684501648,0.5416094660758972,0.6532476544380188,0.9796901345252991
9,0.9866408705711365,0.35825449228286743,1e-04,0.9636555314064026,0.9471593499183655,0.9663184881210327,0.5285096168518066,0.6513915657997131,0.9796364307403564
10,0.9869760870933533,0.35048919916152954,1e-04,0.9713308811187744,0.9439080953598022,0.9631500244140625,0.5136630535125732,0.6206011772155762,0.9791349768638611
11,0.9872254729270935,0.3440472185611725,1e-04,0.9772425293922424,0.9391645193099976,0.9629936218261719,0.502154529094696,0.6192449927330017,0.9794573187828064
12,0.9874337911605835,0.3382946848869324,1e-04,0.9823132753372192,0.9347074627876282,0.9633430242538452,0.4897557199001312,0.6221778988838196,0.9782573580741882
13,0.9875937700271606,0.3329963982105255,1e-04,0.9862778186798096,0.9304664731025696,0.964007556438446,0.4778970181941986,0.6281211376190186,0.9772185683250427
14,0.9877210259437561,0.3279622793197632,1e-04,0.9895117282867432,0.9270873069763184,0.9680023193359375,0.46819019317626953,0.6680974960327148,0.9756604433059692
15,0.9878212213516235,0.3231980800628662,1e-04,0.9921649098396301,0.9236354231834412,0.9806686639785767,0.4567883610725403,0.8387718796730042,0.9736724495887756
16,0.9878809452056885,0.3186611533164978,1e-04,0.9937252402305603,0.9205428957939148,0.9797965884208679,0.44787365198135376,0.8239957690238953,0.9717202186584473
17,0.9879291653633118,0.31426939368247986,1e-04,0.9950181245803833,0.9179264307022095,0.9815086126327515,0.4405403137207031,0.8523849248886108,0.96303391456604
18,0.9879609942436218,0.3100076913833618,1e-04,0.9959276914596558,0.915894091129303,0.9872169494628906,0.4286597669124603,0.9673851728439331,0.9508910179138184
19,0.9879823327064514,0.30585938692092896,1e-04,0.9965093731880188,0.9143378734588623,0.9876937866210938,0.40564650297164917,0.9786635637283325,0.9406107068061829
